time	throughput
2019-06-01T17:25:43.511Z	50
2019-06-01T17:30:43.511Z	100
2019-06-01T17:35:43.511Z	32
2019-06-01T17:40:43.511Z	64
2019-06-01T17:45:43.511Z	32
2019-06-01T17:55:43.511Z	42
2019-06-01T18:00:43.511Z	75
2019-06-01T18:05:43.511Z	63
2019-06-01T18:15:43.511Z	42
2019-06-01T18:20:43.511Z	42
2019-06-01T18:25:43.511Z	86
2019-06-01T18:30:43.511Z	98
2019-06-01T18:35:43.511Z	18
2019-06-01T18:40:43.511Z	65
2019-06-01T18:45:43.511Z	23
2019-06-01T18:50:43.511Z	87
2019-06-01T18:55:43.511Z	86
2019-06-01T19:00:43.511Z	57
2019-06-01T19:05:43.511Z	77
