throughput	time
0	2019-08-26T15:52:10.000Z
76962.9	2019-08-26T15:52:40.000Z
70209.6	2019-08-26T15:53:10.000Z
71582.733	2019-08-26T15:53:40.000Z
78106.333	2019-08-26T15:54:10.000Z
77419.233	2019-08-26T15:54:40.000Z
79420.734	2019-08-26T15:55:10.000Z
70764.267	2019-08-26T15:55:40.000Z
72823.3	2019-08-26T15:56:10.000Z
79815.566	2019-08-26T15:56:40.000Z
69624.5	2019-08-26T15:57:25.000Z
83453.733	2019-08-26T15:57:55.000Z
82307.133	2019-08-26T15:58:25.000Z
75232.6	2019-08-26T15:58:55.000Z
77467.266	2019-08-26T15:59:25.000Z
76371.2	2019-08-26T15:59:55.000Z
71778.467	2019-08-26T16:00:25.000Z
85105.366	2019-08-26T16:00:55.000Z
68470.767	2019-08-26T16:01:25.000Z
65937.467	2019-08-26T16:01:55.000Z
63735.2	2019-08-26T16:02:25.000Z
66218.1	2019-08-26T16:02:55.000Z
65842.667	2019-08-26T16:03:25.000Z
85046.6	2019-08-26T16:03:55.000Z
76889.167	2019-08-26T16:04:25.000Z
74851.733	2019-08-26T16:04:55.000Z
84369.234	2019-08-26T16:05:25.000Z
78187.866	2019-08-26T16:05:55.000Z
73868.066	2019-08-26T16:06:25.000Z
71761.4	2019-08-26T16:06:55.000Z
70612.867	2019-08-26T16:07:25.000Z
68844.2	2019-08-26T16:07:55.000Z
71310.4	2019-08-26T16:08:25.000Z
63076.767	2019-08-26T16:08:55.000Z
66425.066	2019-08-26T16:09:25.000Z
64196.133	2019-08-26T16:09:55.000Z
58807.9	2019-08-26T16:10:25.000Z
74390.334	2019-08-26T16:10:55.000Z
52180.833	2019-08-26T16:11:25.000Z
62148.834	2019-08-26T16:11:55.000Z
59919.433	2019-08-26T16:12:25.000Z
17718.966	2019-08-26T16:12:55.000Z
57084.333	2019-08-26T16:13:25.000Z
50967.067	2019-08-26T16:13:55.000Z
70175.9	2019-08-26T16:14:25.000Z
38116.4	2019-08-26T16:14:55.000Z
19907.9	2019-08-26T16:15:25.000Z
43038.066	2019-08-26T16:15:55.000Z
55668.833	2019-08-26T16:16:25.000Z
54190.8	2019-08-26T16:16:55.000Z
60649.5	2019-08-26T16:17:25.000Z
72758.966	2019-08-26T16:17:55.000Z
78127.467	2019-08-26T16:18:25.000Z
84488.5	2019-08-26T16:18:55.000Z
82609.167	2019-08-26T16:19:25.000Z
82369.3	2019-08-26T16:19:55.000Z
82999.9	2019-08-26T16:20:25.000Z
82682.233	2019-08-26T16:20:55.000Z
73248.534	2019-08-26T16:21:25.000Z
70419.1	2019-08-26T16:21:55.000Z
80154.067	2019-08-26T16:22:25.000Z
80032.2	2019-08-26T16:22:55.000Z
83345.034	2019-08-26T16:23:25.000Z
83526.167	2019-08-26T16:23:55.000Z
75166.767	2019-08-26T16:24:25.000Z
77061.8	2019-08-26T16:24:55.000Z
86947.767	2019-08-26T16:25:25.000Z
116935.233	2019-08-26T16:25:55.000Z
83103.767	2019-08-26T16:26:25.000Z
82071.533	2019-08-26T16:26:55.000Z
81034.734	2019-08-26T16:27:25.000Z
91955.366	2019-08-26T16:27:55.000Z
84934.267	2019-08-26T16:28:25.000Z
88370.833	2019-08-26T16:28:55.000Z
77531.467	2019-08-26T16:29:25.000Z
82241.933	2019-08-26T16:29:55.000Z
78285.334	2019-08-26T16:30:25.000Z
113052.466	2019-08-26T16:30:55.000Z
92980.3	2019-08-26T16:31:25.000Z
90106.433	2019-08-26T16:31:55.000Z
86404.2	2019-08-26T16:32:25.000Z
82700.433	2019-08-26T16:32:55.000Z
78228.867	2019-08-26T16:33:25.000Z
78577.367	2019-08-26T16:33:55.000Z
